iter	Passed	Remaining
0	0	83
1	1	81
2	2	76
3	2	70
4	3	67
5	4	65
6	4	64
7	5	63
8	6	62
9	6	60
10	7	59
11	8	59
12	8	57
13	9	56
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	48
25	16	47
26	17	46
27	17	46
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	46	12
79	46	11
80	47	11
81	47	10
82	48	9
83	48	9
84	49	8
85	50	8
86	50	7
87	51	6
88	51	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	57	1
98	57	0
99	58	0
